,Age,Gender,Country,WorkHoursPerWeek,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,WorkLifeBalanceScore,BurnoutRisk
0,50,1,5,47,3.37,5.06,9.47,4.16,7.0,7.9,117,0,3.15,1,8,8.82,0
1,36,1,3,59,7.39,2.0,5.65,3.74,7.2,9.0,8,1,4.4,1,4,2.8,1
2,29,2,4,59,7.1,7.17,5.7,8.8,5.2,9.7,75,0,3.63,0,6,7.28,1
3,42,1,0,31,4.18,3.76,6.4,4.69,8.7,5.8,43,1,4.5,1,9,1.31,0
4,40,1,1,34,8.28,2.34,3.41,2.12,4.2,3.3,58,1,5.51,1,6,1.17,1
5,44,3,3,58,3.12,4.81,4.45,1.09,8.5,3.2,23,1,2.56,0,6,5.06,0
6,32,3,6,30,5.15,9.68,5.98,7.5,5.9,3.8,62,0,4.54,1,9,6.91,0
7,32,1,2,39,5.25,4.7,9.48,7.43,7.6,6.1,77,1,4.47,0,3,2.28,0
8,45,3,2,49,4.07,4.13,6.78,4.76,7.3,4.9,112,0,3.57,0,3,7.87,0
9,57,3,1,59,9.59,5.0,4.0,2.14,4.8,6.5,40,1,9.99,0,2,2.16,1
10,45,1,3,39,7.27,1.11,1.09,4.34,5.6,0.4,75,0,1.66,0,3,5.8,1
11,24,2,1,34,5.85,2.2,9.83,6.31,6.6,1.1,90,1,6.79,1,8,3.77,0
12,43,1,2,47,5.59,8.65,5.44,7.34,8.2,9.8,73,0,2.57,0,4,7.77,0
13,23,3,4,50,2.43,9.8,9.45,1.7,8.8,10.0,106,0,8.56,1,5,8.24,0
14,45,2,3,55,4.35,2.42,5.94,6.01,4.1,7.5,1,0,9.23,1,3,1.59,0
15,51,0,5,44,7.05,5.82,6.45,3.49,5.8,2.6,94,0,4.61,1,0,2.73,1
16,59,2,4,49,9.32,9.7,7.41,6.56,7.3,9.5,27,0,8.41,0,6,9.03,1
17,23,3,4,37,8.35,2.41,3.89,6.83,6.6,2.1,15,0,3.25,0,6,4.74,1
18,42,2,4,46,3.7,2.68,7.29,9.2,8.7,7.3,58,0,2.26,0,5,5.29,0
19,54,1,5,41,4.91,9.34,5.74,4.69,4.1,1.2,0,0,3.84,0,3,2.51,0
20,33,0,6,50,1.75,7.35,7.05,5.84,6.2,6.5,85,0,4.08,0,9,9.95,0
21,43,0,0,59,1.92,2.37,8.52,3.41,7.3,7.6,0,1,4.58,0,7,9.31,0
22,46,0,1,59,5.23,4.54,2.66,3.58,5.1,8.6,30,1,4.36,0,7,1.02,0
23,48,3,2,56,5.77,1.51,6.52,1.41,7.6,7.3,21,1,4.7,1,0,5.96,0
24,49,3,1,41,3.38,4.89,1.47,3.57,4.4,9.2,97,1,7.39,1,8,8.85,0
25,37,0,3,55,6.79,8.0,1.92,1.57,6.3,5.2,75,1,3.21,0,7,4.87,0
26,36,2,6,30,7.33,5.99,7.07,9.68,7.4,6.8,58,0,1.17,0,1,4.93,1
27,24,0,3,55,3.69,6.83,1.64,6.62,5.3,3.7,118,1,5.41,1,8,4.41,0
28,58,2,1,55,7.83,3.94,6.36,2.56,4.4,0.1,86,1,5.03,0,3,1.26,1
29,28,2,2,33,2.85,2.45,2.98,2.05,8.8,7.6,27,1,1.54,1,9,8.11,0
30,42,3,5,37,5.9,1.12,3.74,4.33,8.6,8.7,115,1,2.2,1,5,5.11,0
31,30,2,1,30,8.24,8.39,2.17,3.77,8.6,1.7,113,0,5.59,0,1,5.78,1
32,39,0,4,56,5.83,6.73,3.24,3.51,8.9,0.3,75,0,3.11,0,9,3.3,0
33,25,3,1,44,9.17,3.06,8.39,5.21,4.9,1.6,26,1,8.9,1,3,8.06,1
34,46,1,4,47,1.53,4.77,6.75,9.22,4.8,9.0,86,1,2.56,1,1,8.14,0
35,35,1,5,30,6.29,8.21,9.55,6.11,4.2,3.0,0,1,1.18,0,8,5.98,0
36,30,3,1,40,6.06,5.85,1.44,5.69,8.5,2.3,106,1,5.03,1,8,9.14,0
37,47,0,6,52,6.94,3.7,8.13,8.26,7.8,0.1,1,0,9.88,0,4,2.04,0
38,23,1,6,31,8.5,3.4,7.29,1.04,7.2,3.0,107,0,6.7,0,2,8.08,1
39,41,1,3,30,7.53,2.96,3.35,2.78,8.6,7.2,94,0,4.19,0,2,6.03,1
40,49,2,5,41,8.11,8.41,7.56,5.47,6.9,9.6,65,1,1.15,0,0,3.08,1
41,28,2,6,45,3.6,6.24,7.45,7.35,4.6,3.1,48,0,5.36,1,7,2.19,0
42,29,0,1,51,4.49,7.38,5.13,5.37,4.9,2.4,88,1,2.86,0,2,3.71,0
43,56,3,5,51,6.64,8.74,7.2,2.47,4.7,8.9,101,0,6.83,0,3,8.71,0
44,35,0,2,39,5.98,9.88,5.0,9.37,5.5,8.5,111,0,6.25,1,1,8.09,0
45,38,3,4,47,9.65,3.25,4.02,3.96,5.9,3.3,18,1,3.39,1,7,6.81,1
46,57,1,1,44,2.68,2.63,5.2,8.09,8.0,0.7,27,0,1.62,1,2,1.81,0
47,25,2,4,46,4.16,5.16,9.06,9.02,5.0,9.9,69,0,7.8,0,1,9.59,0
48,23,0,4,59,6.15,1.32,4.46,4.12,7.6,6.8,38,1,6.27,1,0,3.75,0
49,27,0,5,39,8.81,8.13,4.63,8.61,6.5,9.3,18,0,8.58,1,9,6.46,1
50,25,3,5,32,9.36,8.95,6.48,7.4,9.0,3.4,115,0,3.34,0,1,8.23,1
51,50,3,3,55,4.02,7.17,7.78,9.14,7.9,6.5,63,1,6.88,1,1,2.2,0
52,39,0,4,59,1.6,3.41,7.61,3.26,8.8,6.7,57,0,2.07,1,3,6.87,0
53,47,3,3,50,4.79,2.11,1.18,9.38,5.7,8.7,16,1,3.63,1,0,1.29,0
54,55,0,4,45,4.55,4.44,7.19,1.59,4.6,9.9,69,1,6.91,1,0,1.92,0
55,31,0,3,35,9.88,8.5,5.05,8.14,6.5,1.1,78,1,8.43,0,5,7.51,1
56,57,0,3,32,4.88,4.13,5.72,4.92,4.6,6.3,85,1,3.89,0,4,2.4,0
57,35,1,2,38,3.75,1.31,6.05,2.6,6.5,3.4,40,1,8.19,0,0,4.99,0
58,52,3,3,40,4.29,3.47,7.59,1.71,5.3,8.1,97,1,7.1,1,5,3.23,0
59,36,2,5,50,4.57,9.91,8.48,4.51,6.5,7.5,4,1,4.14,1,7,4.79,0
60,29,2,3,42,8.39,7.09,6.82,4.5,8.7,8.9,116,1,8.89,1,4,1.69,1
61,35,3,4,47,1.73,9.11,6.08,3.07,5.4,3.4,22,1,5.58,0,2,7.79,0
62,44,0,3,55,3.85,7.97,4.36,2.94,9.0,1.8,68,1,6.83,1,2,1.71,0
63,42,2,6,51,9.7,5.86,2.24,4.6,5.1,0.2,107,1,5.46,0,1,8.54,1
64,37,2,0,57,2.38,2.34,9.63,4.69,5.0,2.6,9,1,5.07,0,8,6.96,0
65,39,3,4,53,7.68,4.14,5.16,4.98,6.7,3.7,67,1,8.63,1,8,4.75,1
66,45,2,6,56,4.21,6.25,6.1,8.82,8.2,9.5,11,0,3.65,1,6,8.8,0
67,47,0,4,51,6.24,8.84,7.76,6.5,7.7,4.9,110,1,1.33,1,0,2.68,0
68,46,3,5,33,1.9,3.42,1.62,1.18,7.6,5.6,9,1,8.92,0,0,3.38,0
69,50,0,0,51,3.76,2.09,8.7,5.67,5.4,8.8,59,1,8.43,1,3,2.23,0
70,36,2,0,53,5.51,6.03,8.17,7.86,4.1,8.9,29,0,4.3,1,1,4.43,0
71,22,2,5,37,3.09,2.59,7.97,1.51,4.8,5.3,113,1,2.67,1,2,9.88,0
72,46,0,0,42,5.88,6.49,1.2,4.8,5.7,1.1,23,0,7.08,1,1,2.45,0
73,28,1,5,39,2.98,3.37,5.74,5.06,8.9,2.7,68,1,1.71,1,0,8.48,0
74,30,2,6,31,6.85,3.08,1.49,9.59,8.6,4.6,12,0,4.81,0,2,6.87,0
75,45,1,2,37,9.14,4.59,5.96,5.28,5.0,7.5,99,0,1.77,1,6,1.14,1
76,22,2,4,35,1.77,6.34,7.47,7.75,7.6,7.1,8,0,6.38,0,9,9.5,0
77,29,1,5,45,2.95,5.91,2.1,3.73,6.9,6.4,17,0,1.24,0,8,9.74,0
78,45,1,4,47,8.6,3.2,7.25,8.01,4.2,8.8,34,0,6.66,1,9,9.32,1
79,32,1,6,46,6.68,9.02,5.05,3.9,5.9,8.0,94,1,7.06,0,8,5.52,0
80,38,0,2,35,1.71,1.99,8.3,4.87,6.4,9.8,87,1,5.38,0,7,2.98,0
81,29,1,6,42,5.38,1.36,5.8,5.32,7.3,8.9,106,1,2.58,1,5,4.52,0
82,56,1,0,52,2.89,6.42,4.03,9.34,5.5,2.0,3,0,1.91,0,0,6.53,0
83,56,1,4,43,2.79,2.11,3.99,1.48,8.7,0.6,40,0,3.82,0,7,4.41,0
84,54,2,1,59,9.47,5.54,9.08,2.77,6.3,4.1,25,0,5.19,0,7,7.37,1
85,26,1,2,55,7.85,9.57,5.08,7.35,5.2,6.2,43,0,6.78,0,8,8.16,1
86,49,2,0,50,7.27,7.29,4.65,6.2,5.6,6.4,41,1,1.01,1,9,2.88,1
87,28,1,2,59,3.15,6.56,1.36,3.26,7.8,2.7,9,0,7.4,0,5,4.64,0
88,30,1,0,39,2.07,6.17,4.28,3.6,7.2,8.6,104,1,7.41,1,2,9.62,0
89,29,0,6,53,8.84,2.62,8.65,4.31,7.7,3.3,105,0,5.0,0,5,3.25,1
90,33,2,5,40,1.05,4.89,7.85,5.05,5.5,9.2,72,0,4.09,0,7,4.12,0
91,55,1,4,42,4.49,4.08,2.99,8.36,5.6,4.7,0,0,8.58,1,6,1.32,0
92,54,2,3,41,3.5,9.58,4.72,1.12,6.0,0.1,53,0,8.06,0,7,3.99,0
93,44,2,3,38,6.13,3.18,2.77,9.08,4.9,1.6,15,0,9.85,0,2,4.34,0
94,45,3,6,33,3.25,5.24,9.59,4.72,7.5,1.0,45,1,4.35,1,7,1.9,0
95,58,0,4,36,3.8,9.44,6.38,3.07,5.6,0.4,12,0,9.16,1,4,1.01,0
96,56,0,4,53,8.65,8.1,7.79,5.58,5.6,7.1,101,1,1.79,1,6,6.18,1
97,43,0,6,58,6.43,9.68,7.42,6.94,5.3,1.9,63,1,4.7,1,3,3.71,0
98,48,3,4,51,2.31,6.47,8.86,1.4,6.3,8.4,77,0,5.19,1,2,1.16,0
99,56,3,5,31,7.54,4.0,9.54,7.44,7.9,2.6,103,0,4.97,1,5,8.74,1
100,22,0,6,36,2.87,8.44,1.29,7.85,8.2,0.3,86,0,6.63,1,8,6.26,0
101,56,3,5,58,4.9,3.62,9.78,2.5,8.0,8.2,54,0,2.53,1,3,2.54,0
102,58,3,4,38,6.82,2.48,8.83,2.51,7.1,4.7,62,0,8.8,0,8,8.79,0
